ID,Categoría,Control / Pregunta de Assessment,"Calific.
(0-5)","Nivel
Madurez","Peso
Crit.","Contrib.
(D×F)","Madur.
Relat.%","Cumpli.
Binario",Semáforo,"Origen
Pregunta",Evidencias / Guía de respuesta,,
GV.RM-04,Risk Mgmt Strategy,¿Los resultados de la gestión de riesgos informan decisiones de presupuesto? ¿Cómo se justifica la inversión en ciberseguridad ante la alta gerencia — en términos de riesgo reducido o sólo como cumplimiento normativo?,0,0-Inexistente,2,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar vinculación entre mapa de riesgos y justificación de inversiones de seguridad. Evidencia: Análisis costo-beneficio de controles, reportes de ROI en seguridad, presentaciones de presupuesto basadas en riesgo.",,
GV.RM-05,Risk Mgmt Strategy,"¿Tienen identificadas las amenazas emergentes más relevantes para su sector? ¿Cómo actualizan la estrategia de riesgo ante nuevas amenazas (ej: ransomware en infraestructura crítica, ataques a cadena de suministro software)?",0,0-Inexistente,1,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar proceso de actualización de threat landscape. Evidencia: Análisis de amenazas sectoriales actualizado, suscripción a ISACs o feeds de inteligencia sectorial, revisiones periódicas de estrategia.",,
GV.RM-06,Risk Mgmt Strategy,¿Cuentan con seguro cibernético? ¿Está alineado con el perfil de riesgo real y los activos críticos de la organización? ¿El CISO participó en la negociación de la póliza o fue únicamente la gerencia financiera?,0,0-Inexistente,1,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar póliza de seguro cibernético y su alineación con inventario de activos críticos. Evidencia: Póliza vigente, análisis de cobertura vs. riesgo real, participación técnica en negociación.",,
GV.RM-07,Risk Mgmt Strategy,¿Los planes de respuesta a incidentes y continuidad de negocio están alineados con la estrategia de riesgo general de la organización? ¿Ciberseguridad y BCP comparten el mismo marco de gestión de riesgo?,0,0-Inexistente,2,0,0%,0,✗ CRÍTICO,SÍNTESIS,"Verificar integración entre IRP, BCP y marco de gestión de riesgos. Evidencia: BIA (Business Impact Analysis) que incluye riesgos cibernéticos, IRP alineado con umbrales del apetito de riesgo aprobado.",,
"► GV.RR — Roles, Responsibilities & Authorities  |  Los roles, responsabilidades y autoridades de ciberseguridad son establecidos para fomentar la rendición de cuentas",,,,,,,,,,,,,
GV.RR-01,Roles & Resp.,"¿Las funciones relacionadas con la ciberseguridad están establecidas, comunicadas, comprendidas y aplicadas en toda la organización? ¿Hay un RACI documentado y conocido por todos los involucrados?",0,0-Inexistente,2,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar matriz RACI de ciberseguridad con cobertura organizacional. Evidencia: Organigrama de seguridad, descripciones de cargo con responsabilidades de seguridad, difusión documentada.",,
GV.RR-02,Roles & Resp.,"¿Las responsabilidades de ciberseguridad están coordinadas y alineadas con roles internos (legal, compliance, RR.HH., auditoría) y externos (proveedores críticos, reguladores)?",0,0-Inexistente,2,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar coordinación interfuncional de ciberseguridad. Evidencia: Acuerdos de responsabilidad con áreas funcionales, cláusulas de ciberseguridad en contratos con terceros, comunicaciones con reguladores.",,
GV.RR-03,Roles & Resp.,"¿Los recursos son priorizados para ciberseguridad en base al riesgo identificado, los requisitos regulatorios y la política de la organización? ¿Hay un proceso formal de asignación de presupuesto de seguridad?",0,0-Inexistente,1,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar proceso de priorización de recursos basado en riesgo. Evidencia: Presupuesto de seguridad asignado formalmente, justificación basada en análisis de riesgo, comparativa vs. benchmarks del sector.",,
GV.RR-04,Roles & Resp.,"¿La ciberseguridad está incluida en las políticas de recursos humanos? Específicamente: ¿se verifican antecedentes en contratación, se hace inducción de seguridad y hay proceso formal para revocación de accesos en la desvinculación?",0,0-Inexistente,1,0,0%,0,✗ CRÍTICO,SÍNTESIS,"Verificar integración de ciberseguridad en el ciclo de vida del empleado. Evidencia: Proceso de onboarding con firma de política de seguridad, lista de verificación de offboarding con revocación de accesos, verificación de antecedentes.",,
GV.RR-05,Roles & Resp.,"¿Cuando hay un incidente crítico, quién tiene la autoridad para tomar decisiones de negocio (aislar sistemas, notificar a reguladores, comunicar a clientes, detener operaciones)? ¿Ese proceso está documentado y practicado con simulacros?",0,0-Inexistente,3,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar estructura de toma de decisiones en crisis. Evidencia: Documento de autoridades de incidentes aprobado, árbol de escalamiento practicado en tabletop, roles claros de vocería externa.",,
"► GV.PO — Policy  |  Las políticas de ciberseguridad de la organización están establecidas, comunicadas y aplicadas",,,,,,,,,,,,,
GV.PO-01,Policy,"¿Tienen una política de ciberseguridad aprobada por la alta gerencia? ¿Cuándo fue la última revisión? ¿Cubre todos los dominios relevantes (control de acceso, manejo de datos, respuesta a incidentes, uso aceptable, seguridad en nube)?",0,0-Inexistente,3,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar política de ciberseguridad vigente, fecha de aprobación y cobertura de dominios. Evidencia: Política aprobada con firma ejecutiva, índice de dominios cubiertos, registro de revisiones periódicas.",,
GV.PO-02,Policy,¿Las políticas de ciberseguridad son conocidas por todos los empleados? ¿Cómo se verifica que se conocen y cumplen? ¿Hay consecuencias documentadas por incumplimiento?,0,0-Inexistente,2,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar mecanismo de comunicación y confirmación de recepción de políticas. Evidencia: Registros de capacitación, firmas de recepción de política, casos de incumplimiento gestionados con proceso disciplinario.",,
► GV.OV — Oversight  |  Los resultados de las actividades de ciberseguridad se usan para informar y ajustar la estrategia de riesgo,,,,,,,,,,,,,
GV.OV-01,Oversight,¿La alta gerencia recibe reportes periódicos sobre el estado de ciberseguridad? ¿Qué métricas y KPIs se reportan? ¿Con qué frecuencia? ¿Las métricas muestran tendencias o solo estados puntuales?,0,0-Inexistente,2,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar dashboard o reporte ejecutivo de ciberseguridad con KPIs relevantes. Evidencia: Reporte ejecutivo mensual/trimestral, KPIs definidos (MTTD, MTTR, % vulnerabilidades críticas parchadas, etc.).",,
GV.OV-02,Oversight,¿Cómo se evalúa si el programa de ciberseguridad es efectivo? ¿Hay métricas de efectividad que demuestren si el riesgo realmente se está reduciendo — o sólo se mide si los controles están activos?,0,0-Inexistente,2,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar métricas de efectividad del programa de seguridad orientadas a resultados. Evidencia: Métricas de reducción de riesgo, tendencias de incidentes, comparativa antes/después de controles implementados.",,
GV.OV-03,Oversight,"¿Cuando se identifican brechas en el programa de ciberseguridad (mediante auditorías, incidentes o evaluaciones externas), hay un proceso formal para actualizar la estrategia, las políticas y los controles?",0,0-Inexistente,2,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar ciclo de mejora continua del programa de seguridad. Evidencia: Planes de mejora post-auditoría, registro de lecciones aprendidas implementadas, actualizaciones de políticas vinculadas a hallazgos.",,
"► GV.SC — Cybersecurity Supply Chain Risk Management  |  Los riesgos cibernéticos de la cadena de suministro son identificados, priorizados y atendidos",,,,,,,,,,,,,
GV.SC-01,Supply Chain Risk,"¿Tienen identificados todos los proveedores y terceros con acceso a sus sistemas, datos o redes? ¿Existe un inventario formal con nivel de criticidad (ej: crítico, alto, medio, bajo) basado en el riesgo que representa cada uno?",0,0-Inexistente,3,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar inventario de terceros con clasificación de criticidad. Evidencia: Registro de proveedores con nivel de acceso, datos que manejan, criticidad asignada y responsable interno.",,
GV.SC-02,Supply Chain Risk,"¿Antes de contratar un proveedor de tecnología crítica, hacen una evaluación de sus prácticas de ciberseguridad? ¿Quién la aprueba? ¿Hay un cuestionario estándar o es informal?",0,0-Inexistente,3,0,0%,0,✗ CRÍTICO,SÍNTESIS,"Verificar proceso de due diligence de seguridad en selección de proveedores. Evidencia: Cuestionario de seguridad para proveedores, resultados de evaluaciones, aprobación formal antes del contrato.",,
GV.SC-03,Supply Chain Risk,"¿Los contratos con proveedores críticos incluyen cláusulas de ciberseguridad? Específicamente: derechos de auditoría, obligación de notificación de incidentes en X horas, requisitos de cifrado, y penalidades por incumplimiento.",0,0-Inexistente,2,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar cláusulas de ciberseguridad en contratos vigentes con proveedores críticos. Evidencia: Contratos con cláusulas de auditoría, SLAs de notificación de incidentes, requisitos técnicos de seguridad.",,
GV.SC-04,Supply Chain Risk,¿Hay un proceso para monitorear de forma continua el riesgo cibernético de proveedores críticos después de contratarlos? ¿O la evaluación se hace solo al inicio y luego no se vuelve a revisar?,0,0-Inexistente,2,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar monitoreo continuo de proveedores críticos. Evidencia: Evaluaciones periódicas (cuestionarios, auditorías, revisión de postura de seguridad), herramientas de monitoreo de proveedores (ej: SecurityScorecard, BitSight).",,
GV.SC-05,Supply Chain Risk,"¿Si un proveedor crítico sufre un incidente de seguridad hoy, cómo se enterarían? ¿Tienen un proceso definido para responder a ese escenario y proteger sus propios sistemas mientras el proveedor está comprometido?",0,0-Inexistente,3,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar plan de respuesta ante incidentes en la cadena de suministro. Evidencia: Proceso de notificación de proveedores, playbook de respuesta a compromiso de terceros, simulacro de escenario de proveedor comprometido.",,
GV.SC-06,Supply Chain Risk,"¿Cómo gestionan el riesgo cuando descontinúan una relación con un proveedor? ¿Hay un proceso formal para revocar accesos, recuperar datos de forma segura y verificar que el proveedor eliminó su copia de los datos?",0,0-Inexistente,1,0,0%,0,✗ CRÍTICO,NIST 2.0,"Verificar proceso de offboarding de proveedores. Evidencia: Lista de verificación de cierre de relación con proveedor, confirmación de revocación de accesos, evidencia de eliminación/transferencia de datos.",,
"► ID.AM — Asset Management  |  Los activos (datos, hardware, software, sistemas, instalaciones, personas) son identificados y gestionados",,,,,,,,,,,,,
ID.AM-01,Asset Management,"¿Si hoy alguien preguntara cuántos dispositivos tienen en red, habría una respuesta inmediata y confiable? ¿Cómo saben qué hay conectado — herramienta automática o Excel manual? ¿Qué pasa con dispositivos BYOD y IoT?",3,3-Definido,3,9,60%,1,◑ BUENO,NIST 2.0,"Verificar inventario automatizado de activos. Evidencia: Solución de descubrimiento automático (Nmap, Qualys, Tanium), inventario con cobertura >95%, proceso de incorporación de nuevos activos.",,
ID.AM-02,Asset Management,"¿Entre las aplicaciones en producción, tienen claro cuáles son críticas para el negocio? ¿Está documentado con criterios formales de clasificación (impacto operacional, regulatorio, financiero) o es percepción informal?",3,3-Definido,2,6,60%,1,◑ BUENO,NIST 2.0,"Verificar clasificación formal de aplicaciones críticas. Evidencia: Inventario de aplicaciones con clasificación de criticidad, criterios documentados de clasificación, revisión periódica actualizada.",,
ID.AM-03,Asset Management,"¿Detrás de las aplicaciones críticas, saben qué servidores, bases de datos y componentes las sostienen? ¿Hay un mapa de dependencias actualizado que permita entender el impacto en cascada si falla un componente?",2,2-Repetible,2,4,40%,0,→ MEDIO,NIST 2.0,"Verificar mapa de dependencias de aplicaciones críticas. Evidencia: CMDB actualizada, diagrama de arquitectura con dependencias, análisis de impacto de falla por componente.",,
ID.AM-04,Asset Management,"¿Los propios dispositivos de seguridad (firewalls, IPS, proxies, SIEM) están en el inventario con su nivel de criticidad, versión de software, fecha de último parche y responsable documentado?",3,3-Definido,2,6,60%,1,◑ BUENO,SÍNTESIS,"Verificar inclusión de infraestructura de seguridad en inventario de activos. Evidencia: CMDB o inventario con firewalls, IPS, SIEM, proxies incluidos, con versiones y responsables asignados.",,
"► ID.GV — Governance (IDENTIFY)  |  Las políticas, procedimientos y procesos para gestionar y monitorear requerimientos de ciberseguridad — nota: en NIST 2.0 la mayor parte migró a GV.*",,,,,,,,,,,,,
ID.GV-01,Governance,"¿Cuando alguien tiene un problema de seguridad urgente, sabe exactamente a quién llamar? ¿Hay una matriz de responsabilidades con backups definidos para cada rol crítico? ¿Esta información está actualizada y accesible?",4,5-Optimizado,2,8,80%,1,★ ÓPTIMO,SÍNTESIS,"Verificar directorio de contactos de seguridad con backups. Evidencia: Matriz RACI actualizada, árbol de escalamiento con contactos de respaldo, prueba de acceso en caso de emergencia.",,
ID.GV-02,Governance,"¿Qué tan security-aware es el empleado promedio? ¿Tienen un programa activo de sensibilización con simulacros de phishing, métricas de mejora y capacitaciones diferenciadas por rol (no el mismo curso para el CEO y el desarrollador)?",3,3-Definido,2,6,60%,1,◑ BUENO,SÍNTESIS,"Verificar programa de concientización con métricas de efectividad. Evidencia: Plataforma de e-learning con tasa de completación >90%, resultados de phishing simulado con tendencia de mejora, capacitaciones diferenciadas por rol.",,
ID.GV-03,Governance,"¿Dentro del equipo de ciberseguridad, está documentado quién hace qué? ¿Hay backups para cada rol crítico (no depender de una sola persona para operación del SIEM o respuesta a incidentes)?",2,2-Repetible,1,2,40%,0,→ MEDIO,NIST 1.0,"Verificar matriz de roles internos de seguridad con redundancia. Evidencia: Documento de roles y backups del equipo de seguridad, proceso de transferencia de conocimiento documentado.",,
ID.GV-04,Governance,"¿Las obligaciones de cumplimiento normativo (PCI-DSS, ISO 27001, Ley 1581, GEL, CNO según aplique) tienen responsable asignado y se verifican de forma continua con evidencia documentada?",2,2-Repetible,3,6,40%,0,→ MEDIO,LOCAL (Col),"Verificar matriz de cumplimiento normativo con responsables y estado. Evidencia: Matriz de control de cumplimiento, reportes de auditoría de cumplimiento, certificaciones vigentes.",,
"► ID.RA — Risk Assessment  |  La organización entiende el riesgo cibernético para sus operaciones, activos e individuos",,,,,,,,,,,,,
ID.RA-01,Risk Assessment,"¿Si aparece una vulnerabilidad crítica (CVSS ≥9) en sus sistemas hoy, cuál es el proceso paso a paso? ¿Cómo se enteran primero — feed automático, notificación del vendor, o alguien lee las noticias? ¿Cuál es el SLA de parcheo por criticidad?",3,3-Definido,3,9,60%,1,◑ BUENO,NIST 2.0,"Verificar proceso de gestión de vulnerabilidades con SLAs definidos. Evidencia: Proceso documentado de vuln management, SLAs por CVSS (ej: crítico=24h, alto=7d), herramienta de escaneo automatizado, métricas de cumplimiento de SLA.",,Hay plataforma para control de parches de S.O y Apps de todos los equipos
ID.RA-02,Risk Assessment,"¿Consumen feeds de inteligencia de amenazas (STIX/TAXII, MISP, ISACs sectoriales, CERT) integrados activamente a sus herramientas de detección? ¿O la inteligencia es sólo lectura pasiva de boletines que nadie operacionaliza?",1,1-Inicial,2,2,20%,0,↓ BAJO,NIST 2.0,"Verificar integración activa de threat intelligence. Evidencia: Suscripciones a feeds de TI, integración con SIEM/SOAR, playbooks que consumen IoCs, proceso de actualización de reglas basado en inteligencia.",,
ID.RA-03,Risk Assessment,"¿Cuando los sistemas detectan algo sospechoso, esa información queda registrada, se analiza buscando patrones y alimenta un repositorio de IoCs? ¿O cada alerta se maneja de forma aislada sin aprendizaje acumulado?",2,2-Repetible,2,4,40%,0,→ MEDIO,NIST 2.0,"Verificar repositorio activo de IoCs y amenazas detectadas. Evidencia: Base de datos de IoCs (IPs, hashes, dominios), integración con herramientas de detección, proceso de actualización y depuración.",,
ID.RA-04,Risk Assessment,¿La alta gerencia conoce el mapa de riesgos cibernéticos actualizado? ¿El riesgo cibernético está formalmente integrado al mapa general de riesgos de la organización con apetito definido y métricas de seguimiento?,2,2-Repetible,3,6,40%,0,→ MEDIO,NIST 2.0,"Verificar integración del riesgo cibernético en el mapa de riesgos corporativo. Evidencia: Mapa de riesgos que incluye riesgos cibernéticos, presentación a junta con riesgos cibernéticos priorizados, integración con ERM.",,
ID.RA-05,Risk Assessment,"¿Con proveedores y terceros, hay un proceso formal para verificar sus prácticas de seguridad antes de darles acceso? ¿Con qué frecuencia los re-evalúan una vez son proveedores activos? ¿Cuestionario, auditoría presencial o escaneo técnico?",3,3-Definido,2,6,60%,1,◑ BUENO,SÍNTESIS,"Verificar proceso de evaluación de seguridad de terceros. Evidencia: Cuestionarios de seguridad completados, auditorías de terceros, escaneos de vulnerabilidades a portales de proveedores, frecuencia de re-evaluación.",,
"► PR.AA — Identity Management, Auth & Access Control  |  El acceso a activos físicos y lógicos y a las instalaciones asociadas es limitado a usuarios, procesos y dispositivos autorizados",,,,,,,,,,,,,
PR.AA-01,Identity Mgmt & Auth,"¿Si hoy un empleado se va (voluntaria o involuntariamente), cuánto tiempo tarda en perder TODOS sus accesos — correo, VPN, aplicaciones críticas, repositorios? ¿El proceso inicia automáticamente desde RR.HH. o TI tiene que enterarse manualmente?",5,5-Optimizado,3,15,100%,1,★ ÓPTIMO,NIST 2.0,"Verificar proceso automatizado de offboarding con SLA de revocación. Evidencia: Flujo documentado de revocación, integración RR.HH.-TI, SLA de cierre de accesos (<4 horas recomendado), registro de cierres recientes.",,
PR.AA-02,Identity Mgmt & Auth,"¿Qué porcentaje de las aplicaciones críticas están integradas al directorio central (AD/LDAP/Azure AD)? ¿Las aplicaciones en la nube (SaaS, IaaS) también están cubiertas o hay identidades locales no gestionadas centralmente?",3,3-Definido,3,9,60%,1,◑ BUENO,SÍNTESIS,"Verificar cobertura del directorio centralizado de identidades. Evidencia: Inventario de aplicaciones con tipo de autenticación (LDAP/SAML/local), % de cobertura, aplicaciones con identidades locales pendientes de integrar.",,
PR.AA-03,Identity Mgmt & Auth,"¿Para los sistemas críticos, se requiere MFA? ¿Qué tipo usan: SMS (el menos seguro), TOTP (app autenticador), hardware token (el más robusto)? ¿Dónde está activado y dónde no? La cobertura real define el nivel de protección.",3,3-Definido,3,9,60%,1,◑ BUENO,NIST 2.0,"Verificar cobertura e implementación de MFA en sistemas críticos. Evidencia: Inventario de sistemas con/sin MFA, tipo de segundo factor usado, política de MFA aprobada, hoja de ruta para completar cobertura.",,"Tiene harmony checkpoint con tenat, casb"
PR.AA-04,Identity Mgmt & Auth,"¿Para trabajo remoto, cada usuario tiene credenciales VPN personales e intransferibles o hay usuarios genéricos compartidos (ej: 'vpn_contratista')? ¿Los permisos de VPN están limitados al mínimo necesario por rol?",4,5-Optimizado,3,12,80%,1,★ ÓPTIMO,NIST 2.0,"Verificar individualización y límites de acceso VPN. Evidencia: Política de no usuarios genéricos en VPN, registro de VPNs individuales, permisos VPN diferenciados por rol/área.",,
PR.AA-05,Identity Mgmt & Auth,"¿Cuando un empleado se conecta desde casa, se verifica que su equipo no esté infectado o desactualizado antes de darle acceso a la red corporativa? ¿Hay una solución ZTNA que compruebe la postura de seguridad pre-conexión?",1,1-Inicial,2,2,20%,0,↓ BAJO,NIST 2.0,"Verificar control de postura del endpoint en acceso remoto. Evidencia: Solución ZTNA o NAC con verificación de postura, criterios de postura mínima (parches, antivirus, cifrado), registros de dispositivos rechazados.",,
PR.AA-06,Identity Mgmt & Auth,¿Los usuarios tienen acceso sólo a lo que necesitan para su función? ¿Han auditado en el último año si los permisos son el mínimo necesario? ¿Hay privilegios acumulados de roles anteriores sin revocar?,4,5-Optimizado,3,12,80%,1,★ ÓPTIMO,NIST 2.0,"Verificar aplicación del principio de mínimo privilegio. Evidencia: Auditoría reciente de permisos, proceso de certificación de accesos (access review), mecanismo para detectar acumulación de privilegios.",,
PR.AA-07,Identity Mgmt & Auth,"¿Hay NAC, 802.1X o control que verifique quién o qué se conecta a la red (cableada y WiFi) antes de darle acceso? ¿O cualquiera con la clave del WiFi corporativo entra libremente sin verificación de identidad del dispositivo?",3,3-Definido,2,6,60%,1,◑ BUENO,SÍNTESIS,"Verificar control de acceso a la red basado en identidad/postura. Evidencia: Solución NAC o 802.1X implementada, cobertura en red cableada y WiFi, políticas de cuarentena para dispositivos no conformes.",,
► PR.AT — Awareness and Training  |  El personal y socios son educados sobre los riesgos de ciberseguridad y su rol en la protección,,,,,,,,,,,,,
PR.AT-01,Awareness & Training,¿Los empleados nuevos reciben una inducción formal en ciberseguridad como parte obligatoria del onboarding? ¿O depende del área y del jefe directo que lo considere o no? ¿Hay acuse de recibo de la política de seguridad?,4,5-Optimizado,2,8,80%,1,★ ÓPTIMO,NIST 2.0,"Verificar programa de inducción de seguridad en onboarding. Evidencia: Módulo de seguridad en proceso de inducción, firma de política de uso aceptable, % de empleados nuevos con inducción completada.",,
PR.AT-02,Awareness & Training,"¿Para el personal existente, hay repasos periódicos con evaluación de conocimiento? ¿Hacen campañas de phishing simulado y miden la tasa de click y reporte? ¿Las métricas muestran tendencia de mejora real en el tiempo?",3,3-Definido,1,3,60%,1,◑ BUENO,NIST 2.0,"Verificar programa periódico de concientización con métricas. Evidencia: Calendario de capacitaciones anuales, resultados de phishing simulado (% click, % reporte), tendencia de mejora en el tiempo, diferenciación por nivel de riesgo del rol.",,
► PR.DS — Data Security  |  La información y los registros (datos) son manejados de acuerdo con la estrategia de riesgo de la organización,,,,,,,,,,,,,
PR.DS-01,Data Security,"¿Las bases de datos y repositorios con información sensible (datos personales, financieros, de salud) están cifrados en reposo? ¿Si alguien robara un disco o backup hoy, podría leer los datos sin la clave de cifrado?",2,2-Repetible,3,6,40%,0,→ MEDIO,NIST 2.0,"Verificar cifrado en reposo de bases de datos y almacenamiento. Evidencia: Política de cifrado de datos, herramientas de cifrado implementadas (TDE, BitLocker, LUKS), cobertura de bases de datos críticas, prueba de irrecuperabilidad sin clave.",,
PR.DS-02,Data Security,"¿La información que viaja entre sedes, hacia la nube y hacia usuarios remotos viaja cifrada? ¿Las MPLS tienen cifrado adicional (no confiar sólo en el canal del proveedor) o las MPLS van en plano?",3,3-Definido,3,9,60%,1,◑ BUENO,SÍNTESIS,"Verificar cifrado en tránsito en todos los canales. Evidencia: Configuración de cifrado en VPNs y MPLS, uso de TLS 1.2+ en aplicaciones, política de 'cifrado siempre' en tránsito, revisión de canales sin cifrar.",,
PR.DS-03,Data Security,"¿Cuando descartan un equipo, disco duro o medio de almacenamiento, hay un proceso de borrado seguro irrecuperable (sanitización)? ¿Solo formatear NO es suficiente: el dato puede recuperarse fácilmente con herramientas gratuitas?",4,5-Optimizado,1,4,80%,1,★ ÓPTIMO,NIST 2.0,"Verificar proceso de sanitización de medios. Evidencia: Procedimiento de borrado seguro (Método DoD 5220, NIST 800-88), certificado de sanitización para equipos descartados, política de destrucción física para discos con datos muy sensibles.",,
PR.DS-04,Data Security,"¿Hay controles DLP para detectar si información sensible sale de la organización por correo, USB, almacenamiento en nube personal (Google Drive, OneDrive personal, Dropbox)? ¿El alcance del DLP cubre TODOS los vectores de salida?",1,1-Inicial,2,2,20%,0,↓ BAJO,NIST 2.0,"Verificar alcance del DLP en todos los vectores de exfiltración. Evidencia: Política DLP configurada para correo + endpoint + web, cobertura de nube personal, reportes de alertas DLP, proceso de respuesta ante alertas.",,
PR.DS-05,Data Security,"¿Los ambientes de desarrollo, pruebas y producción están completamente separados? ¿Se usan datos reales de clientes o empleados en ambientes de prueba? Esto viola PCI-DSS, GDPR y la Ley 1581 en Colombia.",4,5-Optimizado,2,8,80%,1,★ ÓPTIMO,SÍNTESIS,"Verificar separación de ambientes y uso de datos en pruebas. Evidencia: Diagrama de ambientes separados, política de datos de prueba (anonimización/enmascaramiento), evidencia de no uso de datos reales en DEV/QA.",,
► PR.PS — Platform Security  |  El hardware y software en activos físicos y virtuales son gestionados de manera consistente con la estrategia de riesgo,,,,,,,,,,,,,
